Area,Data_Source,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020,03/07/2020,04/07/2020,05/07/2020,06/07/2020,07/07/2020,08/07/2020,09/07/2020,10/07/2020,11/07/2020,12/07/2020,13/07/2020,14/07/2020,15/07/2020,16/07/2020,17/07/2020,18/07/2020,19/07/2020,20/07/2020,21/07/2020,22/07/2020,23/07/2020,24/07/2020,25/07/2020,26/07/2020,27/07/2020,28/07/2020,29/07/2020,30/07/2020,31/07/2020,01/08/2020,02/08/2020,03/08/2020,04/08/2020,05/08/2020,06/08/2020,07/08/2020,08/08/2020,09/08/2020,10/08/2020,11/08/2020,12/08/2020,13/08/2020,14/08/2020,15/08/2020,16/08/2020,17/08/2020,18/08/2020,19/08/2020,20/08/2020,21/08/2020,22/08/2020,23/08/2020,24/08/2020,25/08/2020,26/08/2020,27/08/2020,28/08/2020,29/08/2020,30/08/2020,31/08/2020,01/09/2020,02/09/2020,03/09/2020,04/09/2020,05/09/2020,06/09/2020,07/09/2020,08/09/2020,09/09/2020,10/09/2020,11/09/2020,12/09/2020,13/09/2020,14/09/2020,15/09/2020,16/09/2020,17/09/2020,18/09/2020,19/09/2020,20/09/2020,21/09/2020,22/09/2020,23/09/2020,24/09/2020,25/09/2020,26/09/2020,27/09/2020,28/09/2020,29/09/2020,30/09/2020,01/10/2020,02/10/2020,03/10/2020,04/10/2020,05/10/2020,06/10/2020,07/10/2020,08/10/2020,09/10/2020,10/10/2020,11/10/2020,12/10/2020,13/10/2020,14/10/2020,15/10/2020,16/10/2020,17/10/2020,18/10/2020,19/10/2020,20/10/2020,21/10/2020,22/10/2020,23/10/2020,24/10/2020,25/10/2020,26/10/2020,27/10/2020,28/10/2020,29/10/2020,30/10/2020,31/10/2020,01/11/2020,02/11/2020,03/11/2020,04/11/2020,05/11/2020,06/11/2020,07/11/2020,08/11/2020,09/11/2020,10/11/2020,11/11/2020,12/11/2020,13/11/2020,14/11/2020,15/11/2020,16/11/2020,17/11/2020,18/11/2020,19/11/2020,20/11/2020,21/11/2020,22/11/2020,23/11/2020,24/11/2020,25/11/2020,26/11/2020,27/11/2020,28/11/2020,29/11/2020,30/11/2020,01/12/2020,02/12/2020,03/12/2020,04/12/2020,05/12/2020,06/12/2020,07/12/2020,08/12/2020,09/12/2020,10/12/2020,11/12/2020,12/12/2020,13/12/2020,14/12/2020,15/12/2020,16/12/2020,17/12/2020,18/12/2020,19/12/2020,20/12/2020,21/12/2020,22/12/2020,23/12/2020,24/12/2020,25/12/2020,26/12/2020,27/12/2020,28/12/2020,29/12/2020,30/12/2020,31/12/2020,01/01/2021,02/01/2021,03/01/2021,04/01/2021,05/01/2021,06/01/2021
East_of_England,Daily,22,22,34,40,37,49,50,73,74,70,86,71,89,76,111,114,96,71,103,101,82,73,86,85,87,77,76,73,79,76,60,89,60,66,61,71,47,72,74,42,57,38,54,53,52,40,46,41,28,38,40,40,36,39,39,44,25,46,28,24,29,29,40,26,24,28,30,19,16,21,26,18,18,25,13,17,12,18,20,7,17,10,15,12,10,14,6,15,9,9,13,10,13,10,14,9,16,12,7,4,12,4,11,7,6,7,6,13,6,8,4,12,5,4,2,5,5,2,6,0,7,1,2,1,2,3,3,2,2,4,2,0,0,2,0,1,2,2,2,2,3,4,2,2,4,0,1,3,1,2,0,1,1,1,2,4,2,0,0,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,0,3,1,0,1,2,1,3,1,2,3,1,1,6,4,3,3,1,2,1,1,4,9,3,3,6,4,3,2,2,8,6,9,8,7,13,13,9,15,6,13,10,12,15,20,19,19,19,14,17,15,24,23,16,19,28,24,23,19,20,24,13,19,20,21,29,22,27,26,27,25,32,23,27,33,20,35,35,23,27,30,35,33,28,35,37,44,52,34,42,42,44,44,50,62,68,64,78,62,82,82,88,91,74,93,90,101,110,113,98,114,130,147,124
London,Daily,88,116,123,126,120,142,152,178,189,195,190,225,196,195,222,232,198,175,166,170,170,143,147,142,110,119,117,100,104,114,87,86,65,67,59,70,55,50,49,65,51,50,42,47,45,39,33,35,39,29,22,29,26,19,22,22,26,30,21,15,16,8,18,20,17,13,14,17,13,15,15,13,11,5,4,10,11,8,10,8,10,5,8,3,3,3,2,8,7,2,7,5,5,6,5,1,4,3,2,4,2,2,2,7,4,3,3,3,1,6,1,3,1,1,2,5,1,2,1,1,2,4,0,1,0,1,2,1,0,4,3,3,0,2,0,3,0,3,0,1,2,2,2,0,0,0,2,2,0,2,0,3,0,0,1,0,0,0,1,0,1,1,1,2,0,1,2,0,1,2,3,3,0,0,0,1,2,5,2,5,5,5,6,7,2,1,1,2,5,9,6,6,4,3,2,10,5,7,6,9,6,4,5,5,4,13,7,4,6,10,8,15,12,7,18,11,13,15,21,12,14,6,18,19,14,16,17,19,26,21,29,16,12,21,15,24,21,36,33,21,26,29,22,33,22,32,42,32,29,36,50,30,26,31,37,37,32,32,37,43,32,36,32,49,31,40,50,40,66,52,56,60,66,85,76,69,95,98,109,107,121,128,140,145,155,145,173,188,174
Midlands,Daily,39,51,69,75,94,97,100,128,152,164,139,160,178,168,149,201,162,161,173,163,144,144,173,121,160,148,129,141,119,109,138,112,120,131,115,100,116,103,111,87,90,102,101,92,80,77,80,71,68,72,65,71,61,70,58,74,56,54,66,53,58,35,50,61,50,46,36,40,44,36,41,35,35,32,39,28,41,36,25,27,32,17,39,34,23,20,27,17,25,19,23,29,21,36,20,18,11,16,16,11,18,13,10,12,12,12,9,17,7,9,8,6,6,12,5,8,4,6,7,10,8,9,3,7,9,6,4,2,1,5,2,4,2,7,2,2,8,3,1,2,8,4,4,3,2,4,5,1,2,2,1,1,0,1,3,5,3,1,2,3,3,5,2,0,6,0,3,6,3,2,2,1,4,6,4,3,7,3,6,4,9,8,6,13,8,7,6,10,7,6,9,11,7,13,12,8,12,11,15,8,6,23,11,21,21,26,23,34,12,20,36,26,48,46,34,40,48,51,43,49,60,65,63,77,57,78,75,71,76,83,94,81,80,93,80,93,98,100,99,121,111,109,102,116,117,109,111,122,108,112,134,119,114,102,121,125,106,112,114,104,105,109,115,127,121,120,104,106,122,140,95,105,130,127,109,103,118,132,124,101,116,157,128,120,129,111,155,155,158
North_East_and_Yorkshire,Daily,8,14,21,31,31,39,64,62,75,75,96,116,97,99,101,122,118,127,108,108,101,115,112,107,108,112,110,116,103,107,86,100,110,98,100,102,106,94,96,100,81,83,82,84,96,77,68,70,64,51,69,70,69,74,61,70,53,52,51,53,46,47,47,53,42,48,52,43,37,35,46,35,33,35,32,29,26,33,27,25,19,17,23,18,18,15,23,10,15,18,17,20,24,18,19,9,16,8,18,8,11,10,13,7,9,7,9,4,9,3,7,8,6,7,4,5,8,5,4,5,8,6,4,6,6,5,7,3,1,2,6,1,4,3,2,3,0,1,6,4,2,3,1,0,4,1,7,1,1,5,3,1,4,2,2,2,2,2,4,1,1,2,4,4,1,5,3,3,3,3,3,5,7,4,4,5,4,7,7,4,9,9,6,9,6,9,12,18,7,8,7,11,27,14,15,18,20,27,25,25,30,29,25,25,31,29,37,50,36,53,54,60,52,45,44,50,61,58,65,60,75,76,75,68,88,71,84,98,108,88,126,89,83,98,98,109,111,82,92,116,113,108,109,107,120,118,105,101,98,103,87,87,62,88,101,101,81,97,86,79,85,91,96,79,86,91,78,66,93,104,81,84,80,87,85,70,76,97,101,105,84,70,71,100,90,78,79,96,84
North_West,Daily,22,23,32,40,38,45,72,62,94,112,111,101,120,107,160,137,129,140,152,155,145,153,129,167,118,135,96,107,106,127,112,108,94,93,93,86,89,94,77,82,83,81,68,76,82,82,55,79,53,71,50,47,67,55,45,50,59,44,50,38,49,45,45,42,39,50,41,35,29,32,36,37,33,34,38,35,39,26,28,26,24,21,23,23,27,20,20,15,22,13,19,27,18,22,15,13,22,14,15,8,10,13,7,7,14,13,7,18,6,9,4,7,8,10,8,12,7,3,8,7,9,5,4,6,6,3,4,7,6,6,2,4,12,6,2,6,6,10,5,4,5,4,3,7,10,5,4,2,1,2,5,4,10,5,6,5,1,3,2,2,4,2,3,2,1,10,4,10,6,6,6,3,10,3,7,6,10,11,6,6,6,5,15,22,14,8,14,14,16,13,23,23,24,24,21,23,24,29,25,28,38,39,42,32,41,47,47,57,51,55,58,66,61,63,61,82,70,71,75,95,100,89,88,84,97,86,91,103,98,95,99,88,88,94,113,91,100,88,96,113,85,83,93,80,81,83,97,69,74,66,72,76,81,69,77,73,63,65,71,75,71,66,55,77,60,76,56,59,52,65,64,63,74,67,75,89,69,82,65,88,79,61,90,72,77,82,79,85,107
South_East,Daily,30,40,44,46,38,62,69,69,85,80,83,114,104,105,119,111,128,110,110,117,104,95,93,86,109,79,107,116,92,85,91,93,92,79,61,69,73,55,83,57,41,61,54,48,51,46,61,41,47,53,44,59,45,43,40,39,34,49,24,49,40,29,21,39,34,31,34,29,25,30,35,24,26,27,19,20,15,25,25,15,15,20,13,16,20,17,12,16,9,13,11,11,17,15,14,14,13,12,12,9,9,8,15,7,12,9,10,10,9,10,7,7,9,11,5,5,6,8,9,8,4,7,2,3,7,3,7,6,3,9,3,6,1,2,5,5,4,4,2,8,4,3,3,4,3,3,1,3,1,1,2,2,1,1,2,3,5,3,3,1,7,2,4,2,3,1,1,0,2,1,2,2,4,3,1,3,2,3,2,4,0,2,1,2,2,5,4,2,7,4,2,6,2,4,3,2,2,5,5,2,3,5,8,6,3,6,3,5,6,11,12,13,9,11,12,11,16,7,16,11,12,27,24,20,19,16,16,20,23,24,35,27,25,26,28,34,36,36,31,44,39,35,33,42,50,42,53,49,43,38,55,35,52,51,59,62,52,49,41,66,59,54,73,62,74,72,79,79,92,74,86,98,120,119,108,105,129,119,142,131,133,152,149,128,150,145,181,167,208
South_West,Daily,6,10,11,13,23,23,28,26,24,31,32,41,37,42,46,51,31,62,42,37,45,35,41,39,49,42,51,41,46,31,35,38,31,37,33,30,34,41,12,24,20,31,33,33,31,17,26,15,14,8,19,14,10,13,12,15,17,13,13,13,15,10,13,12,13,17,11,8,7,14,7,11,9,8,5,13,6,4,8,7,6,3,4,3,6,3,3,2,2,2,2,5,3,2,4,5,1,1,5,2,2,2,2,1,2,0,4,0,1,0,0,2,3,2,1,1,2,2,2,3,0,0,1,2,0,0,0,1,1,1,0,1,0,1,1,0,0,0,2,0,1,1,0,2,0,0,3,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,2,2,0,0,2,0,1,0,0,2,0,2,0,2,1,0,1,0,0,1,2,1,0,2,1,0,1,1,1,1,3,1,1,1,1,3,1,5,4,2,3,2,5,8,5,3,3,7,6,5,9,5,8,12,8,16,13,9,8,15,8,7,16,17,11,19,17,11,19,19,16,11,18,23,24,25,21,36,37,36,19,31,31,21,31,32,31,32,27,24,24,32,26,19,26,26,31,39,34,20,28,32,32,24,37,20,33,24,29,35,24,31,32,31,35,38,35,28,36,40,42,36,47,52,46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
